,title,date,content
18,[討論] 香港人何不問波羅的海小國怎忍撐過蘇聯?,6/14,"[': 香港比他們還慘好嗎....', ': 香港不是國家', ': 現在也沒有建國的概念 香港人跑路還是比東歐國家容易多了', ': 留在香港跟死耗沒有不同', ': 票投一投就回歸支那大概30年前才有可能 現在到未來機率', ': 只會越來越低', ': 這跟硬頸無關 香港的繁榮就是國際情勢下的暫時產物', ': 自治權的概念在英國殖民時代都很缺乏', ': 當然願意抵抗CCP 作為台灣人還是給予支持鼓勵感謝', ': 靠北 你寫台灣 我沒想那麼多，不過金馬真的高機率會像烏', ': 克蘭那兩省回歸支那，但也有一定機率會一直跟著台灣 看', ': 他們對民主的重視度', ': 所以民眾黨就是吃kmt票 蠻明顯的']"
19,[黑特] 幹你娘香港暴民滾回去，台灣不用你說嘴,6/14,"[': 柯粉真優質', ': 嗯嗯', ': 綠共真優質', ': 柯粉好心疼', ': 美國說ok就ok 反正台灣本來就收容難民用的', ': 他要是罵的是民進黨 你會發這篇嗎', ': 鄭大其實說過，要來台灣就是得和CCP一決死戰 沒覺悟就滾', ': 沒覺悟的港仔滾', ': 請問怎麼區分一個人是不是暴民？', ': 那個跟時力一起公開說人血饅頭的香港學生被香港人砲轟', ': 怎麼之前港青嘴dpp的時候，你沒有出來罵呢？', ': 大部分的香港人還是有判斷能力 也不是所有黃之鋒的話香港', ': 人都贊成', ': 香港人又不傻 全世界台灣跟香港的際遇最類似 不跟台灣合作', ': 不對，香港和台灣不一樣  台灣是陸地分離的烏克蘭', ': 香港是波羅的海 +芬蘭。每天照三餐被蘇聯揍的那種', ': 還要鬧彆扭 才是真的無腦', ': 烏克蘭本身還要處理9.2俄化烏克蘭人，香港已被支那內化', ': 說香港民運是小波浪、和中共同調香港只是房價問題，不就', ': 我都說最接近了 又沒說一模樣 現在大家都承認香港收了', ': 柯謠黨，連自己說的還有臉切割哦？', ': 香港人可以去問看看波羅地海三國，怎麼忍過蘇聯解體', ': 台灣要小心了 難道歐美有這種威脅不成?', ': 前提是CCP要出現戈巴契夫這樣的領導人 ~XDDDDDDDD', ': 問題是香港人大中國思想太濃厚了', ': dpper為了港仔不惜嘴自家同胞 被港青嘴只能說是報應', ': CCP引以為戒 不可能出現如赫魯雪夫戈巴契夫的人了', ': 香港不用看東歐國家 直接跑路比較好 97年前已經跑過一批了', ': 東方之珠其實也是國際情勢不平衡時暫時的產物', ': 一直一來香港自認是城市 沒有自己國家的概念 跟東歐諸國', ': 不能比 民主派裡要香港建國的是極少數', ': 柯糞老闆被港人唾棄了啊', ': 不用放心上，甚麼人都會有，嗆DPP血饅頭的也是香港人', ': 幹你娘柯檳榔滾去中國', ': 香港人到底跟台灣人有什麼關係，連幫台灣當砲灰都沒有', ': 辦法，講難聽一點就是累贅', ': 香港人肉身對付中共 推人的人裡應該都不敢吧', ': 這篇推文的所有人都不敢吧', ': 攻擊市長？人家講的哪邊錯？', ': 香港人至少釋出一些利多給台灣吧，拉些企業促投啊', ': 他們敢不敢跟台灣沒有關係啊XD 如果他們願意武裝造反', ': 台灣提供資源才有意義', ': 至少要對台灣有所貢獻吧，沒好處幹嘛幫香港人?', ': 不過你說台灣人敢不敢肉身對抗中共，我想是很難', ': 台灣人的棋子太有限了，要省著用', ': 至少在香港被完全壓制之前台灣要想出應變措施', ': 很殘忍的講，香港頂多是幫台灣爭取很短的時間準備對抗', ': 中共', ': 陳述事實也要崩潰？', ': 那就不要態度反覆啊', ': 被嗆剛好而已吧', ': 難得看到傳統的政黑文', ': 哈哈哈，這時就會幫台灣政府說話了XD', ': 唉 中配都沒滾了 柯粉有夠兇狠', ': 港仔暴民真的超噁', ': 幹你娘蟑螂綠畜滾出台灣', ': 中國香港對台灣指指點點，果然統一了', ': 香港來台上課學生應該還好吧', ': 台灣本來就獨立了', ': 台灣人包容度很大的！因為我們有的是真民主！所以互相尊', ': 重就可以！', ': U質柯粉']"
20,[討論] 林夕身為香港人 應該不是看顏色說話吧？,6/14,"[': 這不是重點，反正他也不讚同幫香港', ': 林夕當初也勸不要投韓導 還是有判斷力又敢說的了', ': 反對無條件幫香港還有鄭大啊 ~又不是只有他', ': 林夕如果看的是台灣媒體的標題吸收資訊， 被台媒誤導也', ': 是很正常的', ': 香港人有香港人的立場', ': 他的意思應該是要體諒民進黨現實上的困難', ': 要其他香港人不要亂洨', ': https://i.imgur.com/nXRLpPV.jpg', ': 林夕18年就批判過柯韓 比我們一堆柯黑還先知好嗎', ': 至於罵其他黨 就是在支持蔡英文而已', ': 但我覺得這件議題的立場', ': 台灣人沒有那麼認真在意', ': 因為任何黨都是加減嘴炮一下而已', ': 因爲他是有智慧的香港人', ': 香港人最賭爛就是中國人在香港洗人口 搶資源', ': 他也不希望香港人過度造成台灣負擔啊', ': 總之 柯文哲有這人智慧今天就不會這慘', ': 我就很歡迎香港人搬來', ': 倒是八卦憤青整天撐香港', ': 香港人要來就怕被搶地搶工作', ': 人家離土離鄉還搶贏你', ': 看台灣媒體標題被誤導？那林夕應該挺韓啊？', ': 1450啦', ': 人家初代柯韓黑  一堆菜雞寄生白爛在那笑人什麼?', ': 他擺明在酸國民黨吧', ': 說香港民運是小波浪、和中共同調香港只是房價問題，不就', ': 柯謠黨，連自己說的還有臉切割哦？', ': 柯糞崩潰他老闆被人唾棄', ': 噓', ': 老實講只有時力可以嗆DPP 他們立場是一致的', ': 柯本身一直變來變去想要兩邊撈', ': 蚵就紅的啊 香港人認証', ': 媽的 大選一堆港人來台舉牌 哪里沒顏色', ': 跟大家說 他喜歡基進 時粉柯粉可以開噓了', ': 沒有推難民法不代表不支持被破害學生來台唸書', ': 阿北務實！']"
21,Re: [新聞] 快訊／蔡英文力挺香港人：陸委會主責提出,6/13,"[': 下星期五沒有專案沒有具體措施我就跟你一起罵', ': 好的，下星期五是6/5號，感謝k大回應', ': 你記錯了，是下個星期五', ': 40字喔~', ': 要多久', ': 下禮拜五還沒到啦', ': 中國日曆沒有6/4 台灣日曆沒有6/5', ': 明天梗喔', ': 又是辣個傳說中的下個禮拜五', ': 下星期五啦 算錯日子是在大小聲什麼']"
22,[討論] 香港人要來炒房，應該禁止外國人購買不,6/13,"[': 香港人來台灣炒房你信？仲介老闆的話術而已', ': 投資移民資金根本不能買房', ': 能買的起豪宅的移民也不多', ': 外國人買了還不能賣', ': 排外排起來']"
23,[新聞] 安倍晉三表態！日本將推動接受香港金融,6/12,"[': 沒用啦，也不想想你國家多排外', ': 其實已經轉型很多kmt很難選了']"
24,[討論] 香港問題怎麼消失了? 美國爸爸哩?,6/12,"[': 沒空', ': 繼續檢討柯，香港不重要了', ': 川普已經在頭頂冒煙了', ': 美國現在種族問題再爆動啦']"
25,[新聞] 香港人道救援 陸委會：有時間感但沒具體,6/12,"[': 民意反對？什麼時候柯韓粉是多數民意了？', ': 民意反彈？？？817還不夠高？', ': 這就像 我愛你 但我沒辦法給具體承諾', ': 這種事情怎麼會公開講明', ': 講明然後給中共防堵嗎']"
26,[創作] 撐香港、反送中 修法修到哪裡去？,6/11,"[': 看臨時會的時候 有沒有辦法排近議程', ': 台灣救援應該是私下進行', ': 好朋友給推', ': 柯黨啥時撐香港了？']"
27,[新聞] 說好了香港人道救援專案呢？ 行政院：陸,6/11,"[': 都沒事幹的單位還這麼會拖', ': 露餡了啦 嘻嘻', ': 香港人滾出台灣']"
28,[黑特] 今日的香港梁凱晴議員,6/11,"[': 加油~', ': 穿太多給箭頭', ':', ': 嫁給我', ': 小心啊～好擔心會被黑警那個那個', ': 真的太讚 看一次推一次']"
29,[討論] 香港是不是又被遺忘了?,6/09,"[': 不然你要幹嘛', ': 出兵香港嗎', ': 看吧，早上時力開記者會請院長召開協商臨時會議題，列了幾', ': 個優先法案就有港澳條例修法', ': 結果你說香港被忘了，是不是瞧不起小黨', ': 1前幾天小英不是才說要照顧香港人被八卦關心不介入派罵浪費', ': 人民納稅金嗎???', ': YT有直播', ': 就看台灣要不要幫助香港年輕人移民過來，其他沒什麼好', ': 幫的', ': 香港已經沒救了。幾個大國 只有英美想要制裁']"
30,[討論] 香港人道援助關懷行動專案,6/09,"[': 現在沒選舉 喔', ': https://reurl.cc/pd40Vl => 自由說週四會通過ㄟ 香', ': 港蘋果也引用惹 到時可以追蹤看看', ': 計時器']"
31,[黑特] 香港梁凱晴議員是黃之鋒的替身,6/09,"[': 大', ': 香', ': 腸', ':', ': 好', ':      粗', ': 好像有點ㄉ', ': 我愛']"
32,[黑特] 香港反送中滿一周年了!!!,6/09,"[': 台灣可以用選票革命 要珍惜 香港只能用肉身反抗', ': 香港加油！', ': 硬核', ': 民進黨需要你們的努力!真的', ': 樓上邏輯有問題嗎？人家是為了自己的人身權益努力，可以', ': 試問你曾為了民主自由努力過什麼嗎', ': 香港加油！可惜政府只關心但不介入']"
